symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
HCLTECH,2025-10-30T20:45:00Z,Top Technology Executives Recognized at the 2025 Arizona ORBIE Awards,"Leading CIOs honored for leadership, innovation, and business impact. ......",neutral,0.00012739966,0.9998723,2.7892705e-07,https://www.globenewswire.com/news-release/2025/10/30/3177996/0/en/Top-Technology-Executives-Recognized-at-the-2025-Arizona-ORBIE-Awards.html
HCLTECH,2025-10-30T13:51:48Z,Promise of valuation parity with peers drawing Cognizant to Indian exchanges,"Cognizant, which derives nearly three-fourths of its revenue from North America, the prospect of investors assigning it a higher valuation than its homegrown peers is a compelling one.",neutral,8.506679e-08,0.9999999,3.1190694e-08,https://www.livemint.com/companies/cognizant-india-listing-ipo-higher-valuations-market-capital-attraction-11761810505709.html
HCLTECH,2025-10-28T11:20:00Z,"Asia Pacific Business Process Outsourcing (BPO) Forecast Report 2025: A $178.74 Billion Market by 2033, Driven by Digital Transformation, Cost Savings, and the Increasing Use of AI-based Outsourcing","The Asia Pacific Business Process Outsourcing (BPO) Market is set to soar, expected to reach USD 178.74 billion by 2033, up from USD 77.88 billion in 2024, with a CAGR of 9.67% from 2025 to 2033. This growth is driven by digital transformation, cost savings, …",neutral,5.9907405e-05,0.9999392,8.168638e-07,https://www.globenewswire.com/news-release/2025/10/28/3175267/28124/en/Asia-Pacific-Business-Process-Outsourcing-BPO-Forecast-Report-2025-A-178-74-Billion-Market-by-2033-Driven-by-Digital-Transformation-Cost-Savings-and-the-Increasing-Use-of-AI-based-.html
HCLTECH,2025-10-28T09:21:22Z,IT firms have found a workaround H-1B visa hike. And it's boosting margins.,"Five of the country’s 13 large IT solutions providers—Infosys Ltd, HCL Technologies Ltd, Tech Mahindra Ltd, Persistent Systems Ltd, and L&amp;T Technology Services Ltd—have recorded improved operating margins in the September quarter.",neutral,5.9574007e-10,1.0,3.4765801e-09,https://www.livemint.com/companies/donald-trump-h-1b-visa-fee-hike-indian-it-firms-offshore-strategy-boosts-operating-margins-infosys-hcl-walmart-ltts-11761625895147.html
HCLTECH,2025-10-27T17:38:18Z,Cisco Customer Achievement Awards: APJC 2025 Finalists,"Cisco is thrilled to announce the launch of the inaugural Cisco Customer Achievement Awards in the Asia Pacific, Japan, and Greater China (APJC) region! These awards celebrate and honor the remarkable achievements of our customers—organizations that are redef…",neutral,2.8516045e-08,1.0,2.3765727e-08,https://blogs.cisco.com/insidervoices/cisco-customer-achievement-awards-apjc-2025-finalists
HCLTECH,2025-10-27T03:30:00Z,Can Nifty break records this week? Here’s what the charts say,"Nifty paused its six-day winning streak, with analysts suggesting potential near-term drift towards 25,400 before resuming an upside trajectory. While banking stocks show vulnerability, Oil & Gas counters, especially Reliance Industries, offer resilience. Fur…",positive,0.004116654,0.2752085,0.7206748,https://economictimes.indiatimes.com/markets/expert-view/can-nifty-break-records-this-week-heres-what-the-charts-say/articleshow/124837780.cms
HCLTECH,2025-10-27T01:28:30Z,Ecomm’s festive fiesta; Lenskart IPO this week,"Happy Monday! Online sales met early projections for the festive season, with hopes of continued momentum. This and more in today’s ETtech Morning Dispatch.",neutral,7.9748054e-07,0.9999883,1.0895771e-05,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/ecomms-festive-fiesta-lenskart-ipo-this-week/articleshow/124837439.cms
HCLTECH,2025-10-27T00:30:00Z,"Indian IT sees pockets of H2 recovery in US, EU as BFSI revs up","Emerging from the shadows, India's IT sector is experiencing resurgence, driven by a flourishing BFSI environment in North America and Europe. While difficulties remain, rising deal closures and expanding teams paint a promising picture for the upcoming fisca…",neutral,4.1727315e-09,1.0,9.331767e-09,https://economictimes.indiatimes.com/tech/information-tech/indian-it-sees-pockets-of-h2-recovery-in-us-eu-as-bfsi-revs-up/articleshow/124833768.cms
HCLTECH,2025-10-24T22:19:00Z,Top Technology and Security Executives Recognized at the 2025 SoCal ORBIE Awards,"Leading CIOs and CISOs honored for leadership, innovation, and business impact. ......",neutral,4.7146827e-05,0.99995255,2.8726785e-07,https://www.globenewswire.com/news-release/2025/10/24/3173119/0/en/Top-Technology-and-Security-Executives-Recognized-at-the-2025-SoCal-ORBIE-Awards.html
HCLTECH,2025-10-24T14:10:01Z,Third Edition of HCLTech Climate Action Grant in the Americas to Award $1 Million for Innovation to Address Climate Crisis,"NEW YORK & NOIDA, India — HCLTech, a leading global technology company, today announced the third edition of the HCLTech Climate Action Grant in the Americas program. Building on the momentum and impact of the past two years, this year’s edition will award $1…",neutral,0.010311785,0.98968226,6.0133107e-06,https://financialpost.com/pmn/business-wire-news-releases-pmn/third-edition-of-hcltech-climate-action-grant-in-the-americas-to-award-1-million-for-innovation-to-address-climate-crisis
HCLTECH,2025-10-23T00:30:00Z,All You Need To Know Going Into Trade On Thursday,The Indian markets witnessed a highly volatile one-hour trading session on Tuesday to mark the start of Samvat 2082. The NSE Nifty 50 and BSE Sensex ended flat after it pared most gains from the beginning of the special session. Nifty Oct futures is down 0.19…,positive,0.0017266604,6.797956e-05,0.9982053,https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-oct-23-2025
HCLTECH,2025-10-23T00:00:17Z,"AI is boosting the legacy business for top Indian IT firms, for now",Four major IT outsourcers report a rise in software modernization deals as companies automate IT tasks with AI. TCS and Infosys lead at a time US tariffs and higher H-1B visa costs pose a risk to Indian IT services providers.,positive,0.000119604396,0.0077536446,0.9921267,https://www.livemint.com/companies/news/tcs-infy-infosys-ai-boost-legacy-business-top-indian-it-firms-11761043689431.html
HCLTECH,2025-10-22T11:07:16Z,Dubai Islamic Bank forges alliance HCLTech to integrate AI,"has joined forces with global technology firm HCLTech to incorporate AI into its banking services.
This partnership is aimed at enhancing the bank's operational capabilities through the “responsible” and scalable application of AI.
HCLTech Middle East country…",neutral,0.0017181148,0.9982815,4.2822472e-07,https://biztoc.com/x/e4856924dd95ba55
