symbol,publishedAt,title,description,sentiment,neg,neu,pos,url
INFY,2025-10-29T11:49:00Z,Infosys and Metro Bank extend modernisation partnership,"Infosys (NSE, BSE, NYSE: INFY), a global leader in next-generation digital services and consulting, today announced a strategic collaboration with Metro Bank an independent UK bank, and Workday (NASDAQ: WDAY), the AI platform for managing people, money, and a…",neutral,0.34581646,0.6541726,1.0923055e-05,https://www.finextra.com/pressarticle/107741/infosys-and-metro-bank-extend-modernisation-partnership
INFY,2025-10-16T20:04:00Z,"Stock market today: Dow drops 300 points, S&P 500, Nasdaq slide as regional bank woes hit markets",Investors weighed corporate earnings against the escalating US-China trade war.,positive,0.0018353802,1.5269103e-06,0.99816316,https://finance.yahoo.com/news/live/stock-market-today-dow-drops-300-points-sp-500-nasdaq-slide-as-regional-bank-woes-hit-markets-133458076.html
INFY,2025-10-16T13:34:58Z,"Stock market today: Dow, S&P 500, Nasdaq waver amid TSMC's stellar earnings, trade-war jitters",Investors weighed corporate earnings against the escalating US-China trade war.,neutral,9.271193e-07,0.9999945,4.5758657e-06,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-waver-amid-tsmcs-stellar-earnings-trade-war-jitters-133458276.html
INFY,2025-10-16T13:34:58Z,"Stock market today: Dow, S&P 500, Nasdaq rise as TSMC's stellar earnings eclipse trade-war jitters",Investors weighed corporate earnings against the escalating US-China trade war.,neutral,7.807861e-05,0.99930656,0.0006154526,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-rise-as-tsmcs-stellar-earnings-eclipse-trade-war-jitters-232657093.html
INFY,2025-10-16T11:50:13Z,"Earnings live: TSMC profit surges amid 'strong' AI demand, Charles Schwab stock rises, United slips premarket","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,4.520516e-09,1.0,7.33762e-09,https://finance.yahoo.com/news/live/earnings-live-tsmc-profit-surges-amid-strong-ai-demand-charles-schwab-stock-rises-united-slips-premarket-115013246.html
INFY,2025-10-15T23:26:57Z,"Stock market today: Dow, S&P 500, Nasdaq futures rise as TSMC's stellar earnings eclipse trade-war jitters",Investors weighed corporate earnings against the escalating US-China trade war.,neutral,3.3976616e-05,0.9997205,0.0002455582,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-rise-as-tsmcs-stellar-earnings-eclipse-trade-war-jitters-232657775.html
INFY,2025-10-15T11:30:31Z,"Earnings live: Bank of America, Morgan Stanley, LVMH, and ASML stocks jump on strong results","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,9.0958325e-09,1.0,2.1673463e-09,https://finance.yahoo.com/news/live/earnings-live-bank-of-america-morgan-stanley-lvmh-and-asml-stocks-jump-on-strong-results-113031714.html
INFY,2025-10-15T11:30:31Z,"Earnings live: Bank of America, LVMH, and ASML stocks jump on strong results","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,1.047543e-08,1.0,2.1173012e-09,https://finance.yahoo.com/news/live/earnings-live-bank-of-america-lvmh-and-asml-stocks-jump-on-strong-results-113031603.html
INFY,2025-10-15T01:39:41Z,Stock Market Live Updates 15 Oct 2025: Stock to buy today: Swiggy,"Sensex, Nifty, Share Prices LIVE: The outlook for Swiggy is bullish. The stock is getting support from the 21-Day Moving Average, currently at ₹430, over the last few days. Also, the price action since June indicates a bull channel. The region between ₹430 an…",neutral,1.0993117e-08,1.0,3.4974175e-09,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-15th-october-2025/article70162333.ece
INFY,2025-10-15T00:35:53Z,Infy bags $1.6bn NHS workforce management deal,"India Business News: BENGALURU: Infosys won a 1.2-billion-pound ($1.6 billion), 15-year contract from the NHS Business Services Authority (NHSBSA). The NHSBSA is a body of.",negative,0.99035573,0.00941656,0.0002277756,https://timesofindia.indiatimes.com/business/india-business/infy-bags-1-6bn-nhs-workforce-management-deal/articleshow/124565163.cms
INFY,2025-10-14T11:35:55Z,"Earnings live: JPMorgan, BlackRock, Wells Fargo, Johnson & Johnson take spotlight as Q3 earnings kick off","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,2.1852074e-05,0.99997795,2.8872563e-07,https://finance.yahoo.com/news/live/earnings-live-jpmorgan-blackrock-wells-fargo-johnson--johnson-take-spotlight-as-q3-earnings-kick-off-113555421.html
INFY,2025-10-14T11:35:55Z,"Earnings live: JPMorgan, BlackRock stocks edge lower, Wells Fargo rises as Q3 earnings season kicks off","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,5.631444e-06,0.9999926,1.8213916e-06,https://finance.yahoo.com/news/live/earnings-live-jpmorgan-blackrock-stocks-edge-lower-wells-fargo-rises-as-q3-earnings-season-kicks-off-113555582.html
INFY,2025-10-13T20:23:36Z,"Earnings live: JPMorgan, Citi, and other Wall Street banks set to lead off Q3 earnings season","Third quarter earnings season is just beginning, and analysts expect S&P 500 companies grew their profits by 8% during the quarter.",neutral,5.9403646e-05,0.9999403,3.928839e-07,https://finance.yahoo.com/news/live/earnings-live-jpmorgan-citi-and-other-wall-street-banks-set-to-lead-off-q3-earnings-season-202336019.html
INFY,2025-10-13T12:43:45Z,Infosys Collaborates with Telenor Shared Services to Modernize HR Operations with Oracle Cloud HCM,"Infosys Limited (NYSE:INFY) is one of the best growth stocks to buy now. On October 3, Infosys announced its collaboration with Telenor Shared Services/TSS...",neutral,0.0009576828,0.99904114,1.1535104e-06,https://finance.yahoo.com/news/infosys-collaborates-telenor-shared-services-124345851.html
INFY,2025-10-12T11:46:00Z,"Stocks dip as government shutdown continues, rare earths rally: What to watch this week",The stock market will enter the second full week of the government shutdown. Investors will also focus on big bank earnings.,negative,0.99977654,4.8578222e-05,0.00017488368,https://finance.yahoo.com/news/stocks-dip-as-government-shutdown-continues-rare-earths-rally-what-to-watch-this-week-114600627.html
INFY,2025-10-07T13:51:00Z,"Too early to write obituaries for Indian IT companies, says Gurmeet Chadha, slams analysts","Despite current headwinds, Indian IT stocks remain crucial for the economy, generating jobs, forex, and supporting tech ecosystems. Analysts are urged to assess rather than criticize companies like TCS and Infosys.",negative,0.93327254,2.4567675e-05,0.06670284,https://economictimes.indiatimes.com/markets/stocks/news/too-early-to-write-obituaries-for-indian-it-companies-says-gurmeet-chadha-slams-analysts/articleshow/124365264.cms
